StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
dq12345,96,17841,Counter-Strike: Global Offensive,79,2155,393029,Counter-Strike: Global Offensive,79,2155,393029,Food &amp; Drink,90,156,750
gudwns9047,168,10897,Overwatch,127,580,176794,Overwatch,127,580,176794,Sudden Attack,190,190,10
yatoring,232,8135,IRL,168,800,72628,IRL,168,800,72628,Rusty Lake Paradise,319,391,440
jjot5,65,19898,Dead by Daylight,36,386,126308,Dead by Daylight,36,386,126308,Dungreed,42,49,280
saebyeolbe,780,1583,Overwatch,978,4563,32131,Overwatch,978,4563,32131,Resident Evil 7 biohazard,1329,1422,70
parkjand,187,9581,IRL,95,1872,34635,IRL,95,1872,34635,Talk Shows &amp; Podcasts,352,532,235
yeonchobom,397,7159,IRL,278,1393,30308,Rust,347,2071,1126,One Hand Clapping,1228,1246,20
achon1004,90,11159,Diablo II: Lord of Destruction,72,331,79501,PLAYERUNKNOWN'S BATTLEGROUNDS,16,405,7970,Diablo,88,136,1227
mambo3337,147,13644,Black Desert Online,370,2699,218155,Black Desert Online,370,2699,218155,Emily Wants to Play,468,882,180
seohangyeoltv,141,12981,Black Desert Online,347,1410,25844,Black Desert Online,347,1410,25844,Black Desert Online,347,1410,25844
itsmejanna,113,10808,League of Legends,75,999,62481,League of Legends,75,999,62481,World of Warcraft,238,541,37186
nalspudding,182,8147,World of Warcraft,146,463,58862,IRL,39,683,20561,Lost Ark Online,186,289,2537
gutterlife,118,15178,RimWorld,79,267,62161,RimWorld,79,267,62161,Kenshi,110,127,697
ansansniper,222,1895,Overwatch,149,784,50555,Overwatch,149,784,50555,Travel &amp; Outdoors,269,323,90
